SpecCode,tl,guild,len,ord,ecoregion,stream,fresh,invasive,npp,discharge,herbivory,feeding_type,add_rems,Wmax
2,0.305351365,Herb_detrite,1.77815125,Perciformes,Afrotropic,Both,FandM,Invasive,11845.50995,12703.30479,mainly plants/detritus (troph. 2-2.19),browsing on substrate,"Inhabit the littoral zone of lakes and are abundant in Lakes Turkana (Rudolf) and Albert. Although a freshwater species they are also found in brackish water like in the Nile Delta. The area occupied by the species extends from 8° S to 32° N and from 6000 ft (1830 m) to sea level. <i>O. niloticus</i> of Lake Edward form very large schools of 100 sq.m or more at the lake surface when feeding. The species takes epiphytic algae, diatoms or plankton according to conditions. (See also Ref. 3736).",2498
3,0.442479769,Omni,1.591064607,Perciformes,Afrotropic,Both,FandM,Invasive,1778.43347,3904.767607,mainly plants/detritus (troph. 2-2.19),browsing on substrate,"Inhabits lower Zambezi, Limpopo and eastern rivers southwards. Prefers sheltered banks provided with vegetation. The adult tilapia mainly occupy deeper terraces which surround the lake at high-water levels.  Feeds on detritus, plankton, and algae (Ref. 11889). Small fish fed initially on zoobenthos and zooplankton, but fish with a mass of over 4 g fed increasingly on <i>Microcystis aeruginosa</i> and detritus (Ref. 43783). Increased in rainfall improved the quality of diet, as level of protein, energy and organic matter in the diet increased in quantity (Ref. 52847). Utilized in rice fish culture (Ref. 26236).",1150
35,0.558708571,secCons,2.084576278,Anguilliformes,Palearctic,Sonly,FandM,notinvasive,2602.380634,45852.95215,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Observed transients in the intertidal zone (Ref.49162).  Observations have shown that scent and taste appear to be more important than sight for foraging purposes (Ref. 172). Smaller individuals feed mainly on insect larvae, molluscs, worms, and crustaceans; subadults on benthic invertebrates and fish (Ref. 51442); larger individuals on other fishes. This species can also be a scavenger, feeding on carcasses. Yellow and silver eels are nocturnal and opportunistic feeding on virtually all small animals they encounter. Cannibalism occurs amongst yellow eels (Ref. 172). Feeding ceases when silver eels start their spawning migration and rely on their lipid reserves for energy. Leptocephali feed on gelatinous zooplankton (e.g. Hydrozoa, Thaliacea and Ctenophora) (Ref. 89143).",5925
63,0.540329475,secCons,2.012837225,Perciformes,Palearctic,Sonly,FandM,notinvasive,2018.425622,30783.67524,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Eurythermal. Gregarious when young. Voracious predator. High tolerance to salinity changes. Adults migrate to the estuaries in summer where they spawn in January-June. Young inhabit waters of 0.24-0.37% salinity where they feed mainly on zooplankton (Ref.. 11268). From 3.0 cm TL, diet changes to worms, crustaceans, fish larvae. Adults are strictly carnivorous surviving on small fish (Ref. 11243).",NA
73,0.518513934,secCons,1.113943352,Perciformes,Palearctic,Unknown,FandM,notinvasive,1.468056192,17721.70193,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),,NA
79,0.301029996,Herb_detrite,2.176091259,Cypriniformes,Palearctic,Both,FandM,Invasive,258.383858,58122.74458,mainly plants/detritus (troph. 2-2.19),browsing on substrate,Current velocities range from 0.6 m/s to 1.8 m/s.  Feeding and spawning migrations depending on water temperature and water level are reported.  The juveniles winter in deep holes in the river bed.,18312.14286
80,0.380211259,Omni,2.255272505,Gonorynchiformes,Australasia,Both,FandM,notinvasive,1045.907377,10290.14366,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,"Feeds on algae as well as on zooplankton and benthic invertebrates (Ref. 11889).Temperature is the prime factor responsible for limiting the habitat of the species to tropical and subtropical regions of the Indian and the Pacific Ocean. Also, susceptibility to predation limits the distribution of the species.",4666.666667
82,0.340444115,Herb_detrite,2.301029996,Cypriniformes,IndoMalay,Sonly,FandM,notinvasive,270.8093797,70197.79064,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,"Inhabits rivers (Ref. 4832).  A diurnal species and usually solitary.  Burrows occasionally.   Maximum altitude at 500 m and minimum temperature of 14°C. Feeds on detritus, plants and invertebrates (Ref. 11027).  Reproductive migration during the monsoon season towards shallow waters of flood plains. Non-spawning adults usually found feeding in littoral zones.",22750
101,0.558708571,secCons,1.838849091,Clupeiformes,Palearctic,Sonly,FandM,notinvasive,3009.442827,48973.66251,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"In brackish water near estuaries adults prey mainly on planktonic crustaceans (Refs. 40, 89654) and may add small schooling fishes to their diet while at sea (Refs. 188, 10536). Juveniles in freshwater feed on insect larvae, planktonic crustaceans and rotifers (Refs. 10536, 35387) adding herring larvae and planktonic crustaceans to their diet when they move to brackish water near estuaries (Refs. 40, 89654). Feeding appears to cease during migration into rivers (Refs. 10536, 30578).",2405.75
105,0.594392558,secCons,1.591064607,Clupeiformes,Palearctic,Sonly,FandM,notinvasive,60.17944349,166335.8206,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),"Feeds on fish and benthic crustaceans (Ref. 188). Euryhaline, anadromous, moving northward in the Black Sea in spring and early summer. Remains at depths of 40-90 m during winter, moving to shallower waters in spring and near the bottom  at water temperatures of 10-15°C in summer and autumn (Ref. 10439). In Kagoul Lake in the Danube Delta, numerous juveniles 2.6-7.0 cm FL were noted in July-August at water temperatures of 15.8-19.5°C, oxygen concentration of 9.9-10.4 ml/l and pH of 8.0-8.1 (Ref. 10440).",NA
