length,sp_code,genus,species,log_length,body_mass_predicted
64,2,Oreochromis,niloticus,1.806179974,3.516136456
39,3,Oreochromis,mossambicus,1.591064607,3.091039527
133,35,Anguilla,anguilla,2.123851641,3.744323426
103,63,Dicentrarchus,labrax,2.012837225,3.934848294
150,79,Ctenopharyngodon,idella,2.176091259,4.355936487
180,80,Chanos,chanos,2.255272505,4.5865666
200,82,Labeo,rohita,2.301029996,4.760346395
83,101,Alosa,alosa,1.919078092,3.724831384
39,105,Alosa,immaculata,1.591064607,2.871281732
247,137,Scomberomorus,sinensis,2.392696953,4.91075719
128,154,Lutjanus,jocu,2.10720997,4.387619504
221,174,Polyodon,spathula,2.344392274,4.600314648
150,227,Megalops,cyprinoides,2.176091259,4.349332902
45,231,Coregonus,albula,1.653212514,2.991621214
73,232,Coregonus,lavaretus,1.86332286,3.551961749
50,233,Coregonus,oxyrinchus,1.698970004,3.132315982
100,234,Coregonus,clupeaformis,2,3.973274228
57,235,Coregonus,artedi,1.755874856,3.242489992
150,236,Salmo,salar,2.176091259,4.372119031
100,238,Salmo,trutta,2,3.900727616
120,239,Oncorhynchus,mykiss,2.079181246,4.194521774
76,240,Oncorhynchus,gorbuscha,1.880813592,3.639476557
100,241,Oncorhynchus,keta,2,3.941640923
84,243,Oncorhynchus,nerka,1.924279286,3.764045278
150,244,Oncorhynchus,tshawytscha,2.176091259,4.425618744
108,245,Oncorhynchus,kisutch,2.033423755,4.014311424
86,246,Salvelinus,fontinalis,1.934498451,3.79615324
150,248,Salvelinus,namaycush,2.176091259,4.298399016
20,254,Hypomesus,olidus,1.301029996,2.029783865
34,256,Thaleichthys,pacificus,1.531478917,2.641378258
150,258,Esox,lucius,2.176091259,4.18929388
108,263,Colossoma,macropomum,2.033423755,4.243094166
89,266,Lutjanus,griseus,1.949390007,3.887628461
82,268,Abramis,brama,1.913813852,3.843626825
70,269,Tinca,tinca,1.84509804,3.65676525
64,270,Carassius,carassius,1.806179974,3.663202027
59,271,Carassius,auratus,1.770852012,3.475696864
50,272,Rutilus,rutilus,1.698970004,3.243585692
105,274,Hypophthalmichthys,molitrix,2.021189299,4.027037067
112,275,Hypophthalmichthys,nobilis,2.049218023,4.100272242
30,276,Notemigonus,crysoleucas,1.477121255,2.657979614
16,277,Osteochilus,vittatus,1.204119983,2.013830028
9,281,Rastrineobola,argentea,0.954242509,1.203837762
55,282,Parabramis,pekinensis,1.740362689,3.376968513
60,283,Pelecus,cultratus,1.77815125,3.311709102
40,286,Barbonymus,gonionotus,1.602059991,3.085429548
500,289,Silurus,glanis,2.698970004,5.574792959
